year;indicator_code;indicator_label;value;unit
1990;BCA_NGDPD;Current account balance (% of GDP);-7.3;%
1991;BCA_NGDPD;Current account balance (% of GDP);-4.1;%
1992;BCA_NGDPD;Current account balance (% of GDP);-3.4;%
1993;BCA_NGDPD;Current account balance (% of GDP);-5.1;%
1994;BCA_NGDPD;Current account balance (% of GDP);-1.2;%
1995;BCA_NGDPD;Current account balance (% of GDP);0.3;%
1996;BCA_NGDPD;Current account balance (% of GDP);-0.2;%
1997;BCA_NGDPD;Current account balance (% of GDP);-1.5;%
1998;BCA_NGDPD;Current account balance (% of GDP);-0.9;%
1999;BCA_NGDPD;Current account balance (% of GDP);-1.5;%
2000;BCA_NGDPD;Current account balance (% of GDP);-5.5;%
2001;BCA_NGDPD;Current account balance (% of GDP);-7.5;%
2002;BCA_NGDPD;Current account balance (% of GDP);2.0;%
2003;BCA_NGDPD;Current account balance (% of GDP);-8.5;%
2004;BCA_NGDPD;Current account balance (% of GDP);-21.9;%
2005;BCA_NGDPD;Current account balance (% of GDP);-29.9;%
2006;BCA_NGDPD;Current account balance (% of GDP);3.7;%
2007;BCA_NGDPD;Current account balance (% of GDP);-9.4;%
2008;BCA_NGDPD;Current account balance (% of GDP);-9.3;%
2009;BCA_NGDPD;Current account balance (% of GDP);-10.4;%
2010;BCA_NGDPD;Current account balance (% of GDP);-6.3;%
2011;BCA_NGDPD;Current account balance (% of GDP);-3.8;%
2012;BCA_NGDPD;Current account balance (% of GDP);-18.8;%
2013;BCA_NGDPD;Current account balance (% of GDP);-17.2;%
2014;BCA_NGDPD;Current account balance (% of GDP);-22.2;%
2015;BCA_NGDPD;Current account balance (% of GDP);-15.5;%
2016;BCA_NGDPD;Current account balance (% of GDP);-11.0;%
2017;BCA_NGDPD;Current account balance (% of GDP);-10.0;%
2018;BCA_NGDPD;Current account balance (% of GDP);-13.1;%
2019;BCA_NGDPD;Current account balance (% of GDP);-10.5;%
2020;BCA_NGDPD;Current account balance (% of GDP);-6.8;%
2021;BCA_NGDPD;Current account balance (% of GDP);-8.6;%
2022;BCA_NGDPD;Current account balance (% of GDP);-14.9;%
2023;BCA_NGDPD;Current account balance (% of GDP);-8.7;%
2024;BCA_NGDPD;Current account balance (% of GDP);-9.4;%
1990;BCA;Current account balance (USD billions);-0.13;USD bn
1991;BCA;Current account balance (USD billions);-0.08;USD bn
1992;BCA;Current account balance (USD billions);-0.07;USD bn
1993;BCA;Current account balance (USD billions);-0.1;USD bn
1994;BCA;Current account balance (USD billions);-0.02;USD bn
1995;BCA;Current account balance (USD billions);0.01;USD bn
1996;BCA;Current account balance (USD billions);-0.0;USD bn
1997;BCA;Current account balance (USD billions);-0.03;USD bn
1998;BCA;Current account balance (USD billions);-0.02;USD bn
1999;BCA;Current account balance (USD billions);-0.03;USD bn
2000;BCA;Current account balance (USD billions);-0.1;USD bn
2001;BCA;Current account balance (USD billions);-0.13;USD bn
2002;BCA;Current account balance (USD billions);0.04;USD bn
2003;BCA;Current account balance (USD billions);-0.17;USD bn
2004;BCA;Current account balance (USD billions);-0.52;USD bn
2005;BCA;Current account balance (USD billions);-0.88;USD bn
2006;BCA;Current account balance (USD billions);0.15;USD bn
2007;BCA;Current account balance (USD billions);-0.41;USD bn
2008;BCA;Current account balance (USD billions);-0.48;USD bn
2009;BCA;Current account balance (USD billions);-0.49;USD bn
2010;BCA;Current account balance (USD billions);-0.36;USD bn
2011;BCA;Current account balance (USD billions);-0.26;USD bn
2012;BCA;Current account balance (USD billions);-1.26;USD bn
2013;BCA;Current account balance (USD billions);-1.26;USD bn
2014;BCA;Current account balance (USD billions);-1.47;USD bn
2015;BCA;Current account balance (USD billions);-0.96;USD bn
2016;BCA;Current account balance (USD billions);-0.71;USD bn
2017;BCA;Current account balance (USD billions);-0.68;USD bn
2018;BCA;Current account balance (USD billions);-0.98;USD bn
2019;BCA;Current account balance (USD billions);-0.83;USD bn
2020;BCA;Current account balance (USD billions);-0.58;USD bn
2021;BCA;Current account balance (USD billions);-0.78;USD bn
2022;BCA;Current account balance (USD billions);-1.42;USD bn
2023;BCA;Current account balance (USD billions);-0.94;USD bn
2024;BCA;Current account balance (USD billions);-1.04;USD bn
