year;indicator_code;indicator_label;value;unit
1990;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);15.2;%
1991;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);13.13;%
1992;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);12.15;%
1993;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);14.41;%
1994;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);13.15;%
1995;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);13.0;%
1996;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);16.31;%
1997;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);14.16;%
1998;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);12.38;%
1999;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);13.12;%
2000;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);15.01;%
2001;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);15.85;%
2002;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);22.48;%
2003;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);22.18;%
2004;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);20.8;%
2005;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);18.16;%
2006;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);21.05;%
2007;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);18.28;%
2008;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);16.49;%
2009;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);16.04;%
2010;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);16.87;%
2011;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);17.11;%
2012;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);23.21;%
2013;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);19.45;%
2014;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);21.26;%
2015;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);23.21;%
2016;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);20.97;%
2017;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);20.83;%
2018;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);22.22;%
2019;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);20.47;%
2020;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);21.32;%
2021;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);23.38;%
2022;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);25.61;%
2023;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);22.34;%
2024;GGR_G01_GDP_PT;Revenue, all taxes (% of GDP);22.2;%
