year;indicator_code;indicator_label;value;unit
1991;PCPIPCH;Inflation, average consumer prices (annual %);5.6;%
1992;PCPIPCH;Inflation, average consumer prices (annual %);10.1;%
1993;PCPIPCH;Inflation, average consumer prices (annual %);9.4;%
1994;PCPIPCH;Inflation, average consumer prices (annual %);4.1;%
1995;PCPIPCH;Inflation, average consumer prices (annual %);6.5;%
1996;PCPIPCH;Inflation, average consumer prices (annual %);4.7;%
1997;PCPIPCH;Inflation, average consumer prices (annual %);4.6;%
1998;PCPIPCH;Inflation, average consumer prices (annual %);8.0;%
1999;PCPIPCH;Inflation, average consumer prices (annual %);4.1;%
2000;PCPIPCH;Inflation, average consumer prices (annual %);3.3;%
2001;PCPIPCH;Inflation, average consumer prices (annual %);4.7;%
2002;PCPIPCH;Inflation, average consumer prices (annual %);3.9;%
2003;PCPIPCH;Inflation, average consumer prices (annual %);5.2;%
2004;PCPIPCH;Inflation, average consumer prices (annual %);10.4;%
2005;PCPIPCH;Inflation, average consumer prices (annual %);12.1;%
2006;PCPIPCH;Inflation, average consumer prices (annual %);6.2;%
2007;PCPIPCH;Inflation, average consumer prices (annual %);7.3;%
2008;PCPIPCH;Inflation, average consumer prices (annual %);7.5;%
2009;PCPIPCH;Inflation, average consumer prices (annual %);2.1;%
2010;PCPIPCH;Inflation, average consumer prices (annual %);6.3;%
2011;PCPIPCH;Inflation, average consumer prices (annual %);5.7;%
2012;PCPIPCH;Inflation, average consumer prices (annual %);4.9;%
2013;PCPIPCH;Inflation, average consumer prices (annual %);4.1;%
2014;PCPIPCH;Inflation, average consumer prices (annual %);3.8;%
2015;PCPIPCH;Inflation, average consumer prices (annual %);0.5;%
2016;PCPIPCH;Inflation, average consumer prices (annual %);1.5;%
2017;PCPIPCH;Inflation, average consumer prices (annual %);2.3;%
2018;PCPIPCH;Inflation, average consumer prices (annual %);3.1;%
2019;PCPIPCH;Inflation, average consumer prices (annual %);2.3;%
2020;PCPIPCH;Inflation, average consumer prices (annual %);2.4;%
2021;PCPIPCH;Inflation, average consumer prices (annual %);3.6;%
2022;PCPIPCH;Inflation, average consumer prices (annual %);9.6;%
2023;PCPIPCH;Inflation, average consumer prices (annual %);4.9;%
2024;PCPIPCH;Inflation, average consumer prices (annual %);2.5;%
1991;PCPIEPCH;Inflation, end of period consumer prices (%);3.6;%
1992;PCPIEPCH;Inflation, end of period consumer prices (%);17.6;%
1993;PCPIEPCH;Inflation, end of period consumer prices (%);1.5;%
1994;PCPIEPCH;Inflation, end of period consumer prices (%);2.7;%
1995;PCPIEPCH;Inflation, end of period consumer prices (%);9.0;%
1996;PCPIEPCH;Inflation, end of period consumer prices (%);4.5;%
1997;PCPIEPCH;Inflation, end of period consumer prices (%);5.5;%
1998;PCPIEPCH;Inflation, end of period consumer prices (%);8.2;%
1999;PCPIEPCH;Inflation, end of period consumer prices (%);1.9;%
2000;PCPIEPCH;Inflation, end of period consumer prices (%);5.6;%
2001;PCPIEPCH;Inflation, end of period consumer prices (%);1.7;%
2002;PCPIEPCH;Inflation, end of period consumer prices (%);8.4;%
2003;PCPIEPCH;Inflation, end of period consumer prices (%);2.4;%
2004;PCPIEPCH;Inflation, end of period consumer prices (%);16.1;%
2005;PCPIEPCH;Inflation, end of period consumer prices (%);5.8;%
2006;PCPIEPCH;Inflation, end of period consumer prices (%);8.9;%
2007;PCPIEPCH;Inflation, end of period consumer prices (%);7.4;%
2008;PCPIEPCH;Inflation, end of period consumer prices (%);3.9;%
2009;PCPIEPCH;Inflation, end of period consumer prices (%);4.9;%
2010;PCPIEPCH;Inflation, end of period consumer prices (%);6.1;%
2011;PCPIEPCH;Inflation, end of period consumer prices (%);5.5;%
2012;PCPIEPCH;Inflation, end of period consumer prices (%);3.4;%
2013;PCPIEPCH;Inflation, end of period consumer prices (%);4.5;%
2014;PCPIEPCH;Inflation, end of period consumer prices (%);5.0;%
2015;PCPIEPCH;Inflation, end of period consumer prices (%);-2.8;%
2016;PCPIEPCH;Inflation, end of period consumer prices (%);2.8;%
2017;PCPIEPCH;Inflation, end of period consumer prices (%);1.2;%
2018;PCPIEPCH;Inflation, end of period consumer prices (%);3.2;%
2019;PCPIEPCH;Inflation, end of period consumer prices (%);2.7;%
2020;PCPIEPCH;Inflation, end of period consumer prices (%);1.8;%
2021;PCPIEPCH;Inflation, end of period consumer prices (%);5.7;%
2022;PCPIEPCH;Inflation, end of period consumer prices (%);11.0;%
2023;PCPIEPCH;Inflation, end of period consumer prices (%);1.6;%
2024;PCPIEPCH;Inflation, end of period consumer prices (%);1.5;%
