year;indicator_code;indicator_label;value;unit
1990;LP;Population (millions);2.0;millions
1991;LP;Population (millions);2.05;millions
1992;LP;Population (millions);2.11;millions
1993;LP;Population (millions);2.17;millions
1994;LP;Population (millions);2.23;millions
1995;LP;Population (millions);2.29;millions
1996;LP;Population (millions);2.36;millions
1997;LP;Population (millions);2.42;millions
1998;LP;Population (millions);2.5;millions
1999;LP;Population (millions);2.57;millions
2000;LP;Population (millions);2.64;millions
2001;LP;Population (millions);2.72;millions
2002;LP;Population (millions);2.8;millions
2003;LP;Population (millions);2.88;millions
2004;LP;Population (millions);2.96;millions
2005;LP;Population (millions);3.05;millions
2006;LP;Population (millions);2.95;millions
2007;LP;Population (millions);3.04;millions
2008;LP;Population (millions);3.12;millions
2009;LP;Population (millions);3.2;millions
2010;LP;Population (millions);3.29;millions
2011;LP;Population (millions);3.37;millions
2012;LP;Population (millions);3.45;millions
2013;LP;Population (millions);3.54;millions
2014;LP;Population (millions);3.62;millions
2015;LP;Population (millions);3.71;millions
2016;LP;Population (millions);3.79;millions
2017;LP;Population (millions);3.88;millions
2018;LP;Population (millions);3.97;millions
2019;LP;Population (millions);4.06;millions
2020;LP;Population (millions);4.15;millions
2021;LP;Population (millions);4.24;millions
2022;LP;Population (millions);4.33;millions
2023;LP;Population (millions);4.43;millions
2024;LP;Population (millions);4.53;millions
