year;indicator_code;indicator_label;value;unit
1991;NGDP_RPCH;Real GDP growth (annual %);0.0;%
1992;NGDP_RPCH;Real GDP growth (annual %);1.8;%
1993;NGDP_RPCH;Real GDP growth (annual %);5.9;%
1994;NGDP_RPCH;Real GDP growth (annual %);-3.1;%
1995;NGDP_RPCH;Real GDP growth (annual %);9.8;%
1996;NGDP_RPCH;Real GDP growth (annual %);5.8;%
1997;NGDP_RPCH;Real GDP growth (annual %);-4.0;%
1998;NGDP_RPCH;Real GDP growth (annual %);2.8;%
1999;NGDP_RPCH;Real GDP growth (annual %);3.7;%
2000;NGDP_RPCH;Real GDP growth (annual %);-3.9;%
2001;NGDP_RPCH;Real GDP growth (annual %);-0.8;%
2002;NGDP_RPCH;Real GDP growth (annual %);1.4;%
2003;NGDP_RPCH;Real GDP growth (annual %);6.9;%
2004;NGDP_RPCH;Real GDP growth (annual %);4.7;%
2005;NGDP_RPCH;Real GDP growth (annual %);8.6;%
2006;NGDP_RPCH;Real GDP growth (annual %);18.3;%
2007;NGDP_RPCH;Real GDP growth (annual %);-2.0;%
2008;NGDP_RPCH;Real GDP growth (annual %);-0.3;%
2009;NGDP_RPCH;Real GDP growth (annual %);0.1;%
2010;NGDP_RPCH;Real GDP growth (annual %);2.6;%
2011;NGDP_RPCH;Real GDP growth (annual %);4.2;%
2012;NGDP_RPCH;Real GDP growth (annual %);4.5;%
2013;NGDP_RPCH;Real GDP growth (annual %);4.2;%
2014;NGDP_RPCH;Real GDP growth (annual %);4.3;%
2015;NGDP_RPCH;Real GDP growth (annual %);5.4;%
2016;NGDP_RPCH;Real GDP growth (annual %);1.3;%
2017;NGDP_RPCH;Real GDP growth (annual %);6.3;%
2018;NGDP_RPCH;Real GDP growth (annual %);4.8;%
2019;NGDP_RPCH;Real GDP growth (annual %);3.1;%
2020;NGDP_RPCH;Real GDP growth (annual %);-0.4;%
2021;NGDP_RPCH;Real GDP growth (annual %);0.7;%
2022;NGDP_RPCH;Real GDP growth (annual %);6.8;%
2023;NGDP_RPCH;Real GDP growth (annual %);6.8;%
2024;NGDP_RPCH;Real GDP growth (annual %);6.3;%
1990;NGDPDPC;GDP per capita, current USD;898.74;USD
1991;NGDPDPC;GDP per capita, current USD;1002.02;USD
1992;NGDPDPC;GDP per capita, current USD;1026.9;USD
1993;NGDPDPC;GDP per capita, current USD;852.51;USD
1994;NGDPDPC;GDP per capita, current USD;872.71;USD
1995;NGDPDPC;GDP per capita, current USD;912.59;USD
1996;NGDPDPC;GDP per capita, current USD;904.33;USD
1997;NGDPDPC;GDP per capita, current USD;854.32;USD
1998;NGDPDPC;GDP per capita, current USD;812.21;USD
1999;NGDPDPC;GDP per capita, current USD;773.41;USD
2000;NGDPDPC;GDP per capita, current USD;673.36;USD
2001;NGDPDPC;GDP per capita, current USD;641.85;USD
2002;NGDPDPC;GDP per capita, current USD;634.59;USD
2003;NGDPDPC;GDP per capita, current USD;711.71;USD
2004;NGDPDPC;GDP per capita, current USD;796.92;USD
2005;NGDPDPC;GDP per capita, current USD;963.5;USD
2006;NGDPDPC;GDP per capita, current USD;1357.42;USD
2007;NGDPDPC;GDP per capita, current USD;1425.47;USD
2008;NGDPDPC;GDP per capita, current USD;1647.29;USD
2009;NGDPDPC;GDP per capita, current USD;1475.59;USD
2010;NGDPDPC;GDP per capita, current USD;1715.92;USD
2011;NGDPDPC;GDP per capita, current USD;2012.83;USD
2012;NGDPDPC;GDP per capita, current USD;1946.08;USD
2013;NGDPDPC;GDP per capita, current USD;2072.49;USD
2014;NGDPDPC;GDP per capita, current USD;1826.78;USD
2015;NGDPDPC;GDP per capita, current USD;1668.07;USD
2016;NGDPDPC;GDP per capita, current USD;1690.81;USD
2017;NGDPDPC;GDP per capita, current USD;1758.54;USD
2018;NGDPDPC;GDP per capita, current USD;1882.2;USD
2019;NGDPDPC;GDP per capita, current USD;1945.05;USD
2020;NGDPDPC;GDP per capita, current USD;2040.68;USD
2021;NGDPDPC;GDP per capita, current USD;2152.34;USD
2022;NGDPDPC;GDP per capita, current USD;2206.78;USD
2023;NGDPDPC;GDP per capita, current USD;2420.63;USD
2024;NGDPDPC;GDP per capita, current USD;2429.74;USD
1990;NGDPD;GDP, current prices (USD billions);1.79;USD bn
1991;NGDPD;GDP, current prices (USD billions);2.06;USD bn
1992;NGDPD;GDP, current prices (USD billions);2.16;USD bn
1993;NGDPD;GDP, current prices (USD billions);1.85;USD bn
1994;NGDPD;GDP, current prices (USD billions);1.95;USD bn
1995;NGDPD;GDP, current prices (USD billions);2.09;USD bn
1996;NGDPD;GDP, current prices (USD billions);2.13;USD bn
1997;NGDPD;GDP, current prices (USD billions);2.07;USD bn
1998;NGDPD;GDP, current prices (USD billions);2.03;USD bn
1999;NGDPD;GDP, current prices (USD billions);1.99;USD bn
2000;NGDPD;GDP, current prices (USD billions);1.78;USD bn
2001;NGDPD;GDP, current prices (USD billions);1.75;USD bn
