year;indicator_code;indicator_label;value;unit
1990;SP.DYN.LE00.IN;Life expectancy at birth, total (years);58.09;years
1991;SP.DYN.LE00.IN;Life expectancy at birth, total (years);58.29;years
1992;SP.DYN.LE00.IN;Life expectancy at birth, total (years);58.57;years
1993;SP.DYN.LE00.IN;Life expectancy at birth, total (years);58.73;years
1994;SP.DYN.LE00.IN;Life expectancy at birth, total (years);58.76;years
1995;SP.DYN.LE00.IN;Life expectancy at birth, total (years);58.86;years
1996;SP.DYN.LE00.IN;Life expectancy at birth, total (years);58.91;years
1997;SP.DYN.LE00.IN;Life expectancy at birth, total (years);59.42;years
1998;SP.DYN.LE00.IN;Life expectancy at birth, total (years);59.89;years
1999;SP.DYN.LE00.IN;Life expectancy at birth, total (years);60.44;years
2000;SP.DYN.LE00.IN;Life expectancy at birth, total (years);61.04;years
2001;SP.DYN.LE00.IN;Life expectancy at birth, total (years);61.66;years
2002;SP.DYN.LE00.IN;Life expectancy at birth, total (years);62.25;years
2003;SP.DYN.LE00.IN;Life expectancy at birth, total (years);62.8;years
2004;SP.DYN.LE00.IN;Life expectancy at birth, total (years);63.37;years
2005;SP.DYN.LE00.IN;Life expectancy at birth, total (years);63.92;years
2006;SP.DYN.LE00.IN;Life expectancy at birth, total (years);64.49;years
2007;SP.DYN.LE00.IN;Life expectancy at birth, total (years);64.89;years
2008;SP.DYN.LE00.IN;Life expectancy at birth, total (years);65.23;years
2009;SP.DYN.LE00.IN;Life expectancy at birth, total (years);65.48;years
2010;SP.DYN.LE00.IN;Life expectancy at birth, total (years);65.66;years
2011;SP.DYN.LE00.IN;Life expectancy at birth, total (years);65.75;years
2012;SP.DYN.LE00.IN;Life expectancy at birth, total (years);65.81;years
2013;SP.DYN.LE00.IN;Life expectancy at birth, total (years);65.89;years
2014;SP.DYN.LE00.IN;Life expectancy at birth, total (years);66.21;years
2015;SP.DYN.LE00.IN;Life expectancy at birth, total (years);66.5;years
2016;SP.DYN.LE00.IN;Life expectancy at birth, total (years);66.82;years
2017;SP.DYN.LE00.IN;Life expectancy at birth, total (years);67.09;years
2018;SP.DYN.LE00.IN;Life expectancy at birth, total (years);67.42;years
2019;SP.DYN.LE00.IN;Life expectancy at birth, total (years);67.64;years
2020;SP.DYN.LE00.IN;Life expectancy at birth, total (years);66.79;years
2021;SP.DYN.LE00.IN;Life expectancy at birth, total (years);66.76;years
2022;SP.DYN.LE00.IN;Life expectancy at birth, total (years);68.28;years
2023;SP.DYN.LE00.IN;Life expectancy at birth, total (years);68.48;years
1990;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);44.4;per 1,000
1991;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);43.8;per 1,000
1992;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);43.4;per 1,000
1993;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);43.3;per 1,000
1994;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);43.2;per 1,000
1995;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);43.0;per 1,000
1996;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);42.7;per 1,000
1997;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);42.1;per 1,000
1998;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);41.3;per 1,000
1999;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);40.2;per 1,000
2000;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);39.0;per 1,000
2001;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);37.6;per 1,000
2002;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);36.2;per 1,000
2003;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);34.7;per 1,000
2004;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);33.4;per 1,000
2005;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);32.1;per 1,000
2006;SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births);30.9;per 1,000
