year;indicator_code;indicator_label;value;unit
1990;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);38.04;%
1991;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);32.84;%
1992;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);39.39;%
1993;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);27.3;%
1994;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);93.55;%
1995;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);38.82;%
1996;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);33.58;%
1997;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);28.85;%
1998;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);26.62;%
1999;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);28.82;%
2000;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);31.91;%
2001;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);32.24;%
2002;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);41.98;%
2003;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);47.56;%
2004;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);44.78;%
2005;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);40.73;%
2006;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);36.4;%
2007;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);42.21;%
2008;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);37.2;%
2009;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);36.39;%
2010;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);33.28;%
2011;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);29.43;%
2012;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);33.23;%
2013;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);32.72;%
2014;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);37.96;%
2015;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);34.3;%
2016;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);29.0;%
2017;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);30.27;%
2018;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);32.93;%
2019;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);31.24;%
2020;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);24.71;%
2021;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);28.33;%
2022;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);29.78;%
2023;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);24.01;%
2024;NE.GDI.FTOT.ZS;Gross fixed capital formation (% of GDP);25.79;%
1990;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);13.95;%
1991;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);14.63;%
1992;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);14.44;%
1993;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);10.01;%
1994;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);34.31;%
1995;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);14.24;%
1996;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);12.32;%
1997;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);10.58;%
1998;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);9.76;%
1999;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);11.14;%
2000;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);11.3;%
2001;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);12.51;%
2002;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);9.54;%
2003;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);21.48;%
2004;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);35.25;%
2005;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);48.91;%
2006;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);26.0;%
2007;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);28.14;%
2008;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);33.02;%
2009;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);26.43;%
2010;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);32.25;%
2011;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);38.65;%
2012;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);49.17;%
2013;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);47.56;%
2014;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);41.8;%
2015;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);38.46;%
2016;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);31.28;%
2017;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);37.88;%
2018;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);46.43;%
2019;NE.GDI.TOTL.ZS;Gross capital formation (% of GDP);40.01;%
