year;indicator_code;indicator_label;value;unit
1990;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);36.18;%
1991;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);27.54;%
1992;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);22.37;%
1993;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);25.36;%
1994;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);34.7;%
1995;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);41.49;%
1996;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);39.16;%
1997;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);33.39;%
1998;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);24.46;%
1999;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);22.57;%
2000;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);25.52;%
2001;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);25.54;%
2002;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);24.77;%
2003;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);19.12;%
2004;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);23.27;%
2005;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);26.75;%
2006;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);42.36;%
2007;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);40.52;%
2008;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);41.6;%
2009;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);37.25;%
2010;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);45.74;%
2011;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);50.18;%
2012;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);48.26;%
2013;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);45.55;%
2014;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);37.39;%
2015;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);30.2;%
2016;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);33.93;%
2017;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);34.51;%
2018;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);36.59;%
2019;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);42.4;%
2020;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);41.41;%
2021;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);39.86;%
2022;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);39.74;%
2023;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);38.41;%
2024;NE.EXP.GNFS.ZS;Exports of goods and services (% of GDP);41.41;%
1990;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);41.94;%
1991;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);28.28;%
1992;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);19.96;%
1993;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);20.72;%
1994;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);27.99;%
1995;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);31.93;%
1996;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);31.29;%
1997;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);29.36;%
1998;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);26.93;%
1999;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);26.45;%
2000;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);33.42;%
2001;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);35.16;%
2002;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);32.01;%
2003;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);36.19;%
2004;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);51.95;%
2005;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);61.48;%
2006;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);40.42;%
2007;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);45.54;%
2008;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);52.52;%
2009;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);44.76;%
2010;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);47.68;%
2011;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);48.3;%
2012;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);62.53;%
2013;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);56.85;%
2014;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);54.22;%
2015;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);47.15;%
2016;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);39.23;%
2017;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);44.31;%
2018;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);52.56;%
2019;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);51.09;%
2020;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);45.37;%
2021;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);48.45;%
2022;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);62.29;%
2023;NE.IMP.GNFS.ZS;Imports of goods and services (% of GDP);53.76;%
