,id,value
0,AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production)
1,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land)
2,AG.LND.AGRI.K2,Agricultural land (sq. km)
3,AG.LND.AGRI.ZS,Agricultural land (% of land area)
4,AG.LND.ARBL.HA,Arable land (hectares)
5,AG.LND.ARBL.HA.PC,Arable land (hectares per person)
6,AG.LND.ARBL.ZS,Arable land (% of land area)
7,AG.LND.CREL.HA,Land under cereal production (hectares)
8,AG.LND.CROP.ZS,Permanent cropland (% of land area)
9,AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km)
10,AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area)
11,AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km)
12,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area)
13,AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area)
14,AG.LND.FRST.K2,Forest area (sq. km)
15,AG.LND.FRST.ZS,Forest area (% of land area)
16,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land)
17,AG.LND.PRCP.MM,Average precipitation in depth (mm per year)
18,AG.LND.TOTL.K2,Land area (sq. km)
19,AG.LND.TOTL.RU.K2,Rural land area (sq. km)
20,AG.LND.TOTL.UR.K2,Urban land area (sq. km)
21,AG.PRD.CREL.MT,Cereal production (metric tons)
22,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100)
23,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100)
24,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100)
25,AG.SRF.TOTL.K2,Surface area (sq. km)
26,AG.YLD.CREL.KG,Cereal yield (kg per hectare)
27,BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP)
28,BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)"
29,BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)"
30,BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)"
31,BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)"
32,BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)"
33,BM.GSR.NFSV.CD,"Service imports (BoP, current US$)"
34,BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)"
35,BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)"
36,BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)"
37,BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)"
38,BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)"
39,BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)"
40,BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)"
41,BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)"
42,BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)"
43,BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP)
44,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)"
45,BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)"
46,BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)"
47,BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)"
48,BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)"
49,BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)"
50,BN.KLT.PTXL.CD,"Portfolio investment, net (BoP, current US$)"
51,BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)"
52,BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)"
53,BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)"
54,BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)"
55,BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)"
56,BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)"
57,BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)"
58,BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)"
59,BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)"
60,BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)"
